date,code,market,volume_shares
2026-09-14,0050,上市,91951392
2026-09-15,0050,上市,63373313
2026-09-16,0050,上市,72446738
2026-09-17,0050,上市,49931752
2026-09-18,0050,上市,86731065
2026-09-21,0050,上市,86731065
2026-09-14,0052,上市,11505257
2026-09-15,0052,上市,10671485
2026-09-16,0052,上市,12286071
2026-09-17,0052,上市,11729608
2026-09-18,0052,上市,16624775
2026-09-21,0052,上市,16624775
2026-09-14,0056,上市,18893508
2026-09-15,0056,上市,25385973
2026-09-16,0056,上市,17447308
2026-09-17,0056,上市,26260542
2026-09-18,0056,上市,19305390
2026-09-21,0056,上市,19305390
2026-09-14,1101,上市,35778533
2026-09-15,1101,上市,20277886
2026-09-16,1101,上市,18247875
2026-09-17,1101,上市,23063655
2026-09-18,1101,上市,22255754
2026-09-21,1101,上市,22255754
2026-09-14,1102,上市,5772878
2026-09-15,1102,上市,5120946
2026-09-16,1102,上市,5340789
2026-09-17,1102,上市,9655743
2026-09-18,1102,上市,10128633
2026-09-21,1102,上市,10128633
2026-09-14,1210,上市,1310319
2026-09-15,1210,上市,1335950
2026-09-16,1210,上市,1348078
2026-09-17,1210,上市,685412
2026-09-18,1210,上市,1940702
2026-09-21,1210,上市,1940702
2026-09-14,1216,上市,9395978
2026-09-15,1216,上市,10616868
2026-09-16,1216,上市,7214403
2026-09-17,1216,上市,9416599
2026-09-18,1216,上市,17030035
2026-09-21,1216,上市,17030035
2026-09-14,1301,上市,23847845
2026-09-15,1301,上市,17895998
2026-09-16,1301,上市,18778277
2026-09-17,1301,上市,26190059
2026-09-18,1301,上市,29305397
2026-09-21,1301,上市,29305397
2026-09-14,1303,上市,54948757
2026-09-15,1303,上市,55715933
2026-09-16,1303,上市,48008257
2026-09-17,1303,上市,92909712
2026-09-18,1303,上市,82174219
2026-09-21,1303,上市,82174219
2026-09-14,1312,上市,9453345
2026-09-15,1312,上市,9867693
2026-09-16,1312,上市,14773724
2026-09-17,1312,上市,17167705
2026-09-18,1312,上市,14207755
2026-09-21,1312,上市,14207755
2026-09-14,1314,上市,15174574
2026-09-15,1314,上市,12078524
2026-09-16,1314,上市,17974530
2026-09-17,1314,上市,128600273
2026-09-18,1314,上市,151096127
2026-09-21,1314,上市,151096127
2026-09-14,1319,上市,714900
2026-09-15,1319,上市,950303
2026-09-16,1319,上市,2168326
2026-09-17,1319,上市,1163285
2026-09-18,1319,上市,1228066
2026-09-21,1319,上市,1228066
2026-09-14,1326,上市,27922318
2026-09-15,1326,上市,23789944
2026-09-16,1326,上市,15902772
2026-09-17,1326,上市,24043657
2026-09-18,1326,上市,24373131
2026-09-21,1326,上市,24373131
2026-09-14,1402,上市,8417098
2026-09-15,1402,上市,9055012
2026-09-16,1402,上市,11778604
2026-09-17,1402,上市,11978020
2026-09-18,1402,上市,17306879
2026-09-21,1402,上市,17306879
2026-09-14,1440,上市,908353
2026-09-15,1440,上市,1700760
2026-09-16,1440,上市,2474429
2026-09-17,1440,上市,2744843
2026-09-18,1440,上市,1162303
